# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "miRNA_primary_transcript" "-g" "Name" "-a" "dps_104.gff3" "-o" "Dpse_miRNA_expression.tab" "dpse_female_1_t.sam" "dpse_female_2_t.sam" "dpse_male_1_t.sam" "dpse_male_2_t.sam" "SRR902010_t.sam" "SRR902011_t.sam" "SRR5461097_t.sam" "SRR5461098_t.sam" "SRR5461099_t.sam" 
Geneid	Chr	Start	End	Strand	Length	dpse_female_1_t.sam	dpse_female_2_t.sam	dpse_male_1_t.sam	dpse_male_2_t.sam	SRR902010_t.sam	SRR902011_t.sam	SRR5461097_t.sam	SRR5461098_t.sam	SRR5461099_t.sam
dps_1056	NC_046680.1	10320249	10320362	-	114	0	0	0	0	0	2	0	0	5
dps_1066	NC_046680.1	10850339	10850380	-	42	0	0	0	0	0	0	0	0	0
dps_109	NC_046681.1	14496020	14496131	-	112	0	0	0	0	280	290	7	1	308
dps_110	NC_046683.1	37674247	37674356	+	110	0	0	0	0	0	2	6	0	8
dps_1105	NC_046680.1	12378141	12378246	-	106	0	0	0	0	0	0	0	0	11
dps_113	NC_046683.1	19217411	19217514	+	104	0	0	0	0	0	0	4	0	31
dps_115	NC_046679.1	14684354	14684471	+	118	0	0	0	0	0	0	6	1	13
dps_117	NC_046679.1	5322499	5322600	-	102	0	0	0	0	0	0	3	0	19
dps_1171	NC_046680.1	15690363	15690484	+	122	0	0	0	0	0	21	4	0	10
dps_123	NC_046679.1	26583713	26583836	+	124	0	0	1	1	0	0	2	0	736
dps_134	NC_046679.1	6866283	6866384	-	102	9	250	13	539	3813	2990	4829	893	33876
dps_14	NC_046681.1	5944914	5945021	-	108	0	0	0	0	0	1743	72	0	60
dps_1409	NC_046681.1	10705019	10705138	+	120	0	0	0	0	0	0	2	0	38
dps_141	NC_046683.1	38704046	38704157	+	112	0	0	0	0	0	0	0	0	8
dps_1425	NC_046681.1	9930488	9930599	-	112	0	0	0	0	0	0	1	0	5
dps_15	NC_046680.1	19426067	19426174	+	108	0	0	0	7	46	42	95	67	2736
