OrthDme	Row.names	Chr	Start	End	Strand	Muller	DpsSpecific	baseMean.x	log2FoldChange.x	padj.x	baseMean.y	log2FoldChange.y	padj.y	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	dme_164	dps_3824	NC_046679.1	7651570	7651743	-	2_E	no	0	NA	NA	3.41814089605253	-1.41952382315028	0.828186255693143	0.0515004134948514	0.748465477886573	4.941919882417	0.151452369867338	0.879618880682148	NA
2	dme_166	dps_3835	NC_046679.1	22033934	22034035	-	2_E	no	0	NA	NA	0.0362086108842339	2.33832929085121	NA	0	NA	NA	NA	NA	NA
3	dme_373	dps_3825	NC_046679.1	7651857	7652054	-	2_E	no	0	NA	NA	1.54976456728085	-0.0500121959436746	0.99673247124763	0.180786117835796	-1.90048065684573	4.99523304020352	-0.380458857785001	0.703604831163662	0.935726766837631
4	dme_374	dps_117	NC_046679.1	5322499	5322600	-	2_E	no	0	NA	NA	1.51355595639661	0.0235192018119121	NA	0.103000826989703	1.2673541794529	4.91963190445834	0.257611586408403	0.796706686800497	NA
5	dme_419	dps_3826	NC_046680.1	13537979	13538096	-	3_C	no	0	NA	NA	0.253460276189637	-0.49112574051169	NA	0.593858767002241	-1.51532698121851	2.93922297020348	-0.515553599226805	0.60616622511313	0.935726766837631
6	dme_421	dps_3827	NC_046679.1	28069077	28069190	-	2_E	no	0	NA	NA	0.963161056665833	-0.904002728479445	NA	2.17838638686472	-1.70304306879889	1.90318240646867	-0.894839644907636	0.370872814184485	0.782541637929263
7	dme_422	dps_3828	NC_046679.1	17038334	17038441	-	2_E	no	0	NA	NA	5.04764845729518	1.01523632740289	0.901197676345693	0.180786117835796	-1.90048065684573	4.99523304020352	-0.380458857785001	0.703604831163662	0.935726766837631
8	dme_424	dps_110	NC_046683.1	37674247	37674356	+	XR_D	no	0	NA	NA	1.94085358626621	1.9873733677703	0.772752010580899	0.945224529990667	2.45942356660859	2.66903333591207	0.92146603548065	0.356807165940644	0.771254989202273
9	dme_436	dps_31	NC_046681.1	25009409	25009514	-	4_B	no	0	NA	NA	0	NA	NA	0.257502067474257	1.98531289887152	4.81465690347596	0.412347741214586	0.680084560888902	0.935726766837631
10	dme-bantam	dps-bantam	NC_046683.1	64631104	64631184	+	XR_D	no	2535.02100781381	-0.42601075966981	0.0106516499518151	159079.074057143	0.94839438228238	0.726270624588436	1155.53834356064	-0.212851903083612	0.204343339943168	-1.04163856352162	0.297579282477261	0.730107309333745
11	dme-let-7	dps-let-7	NC_046681.1	21485118	21485194	+	4_B	no	54.7315305548109	0.408919552613085	0.565151854640901	28603.5123613271	0.795478422822285	0.824533035610397	2354.12002020755	0.104722131431061	0.205700934743233	0.50909895748301	0.610682862524752	0.935726766837631
